,x,y,z,vx,vy,vz
173,0,0,0,4942,5013,3447
174,0,0,0,4191,4424,3175
175,0,0,0,3641,4051,2813
176,0,0,0,3330,3519,2351
177,0,0,0,2976,3068,1970
178,0,0,0,2541,2618,1778
179,0,0,0,2112,2148,1449
180,0,0,0,1741,1867,1255
181,0,0,0,1408,1477,1027
182,0,0,0,1177,1266,919
183,0,0,0,1100,1169,769
184,0,0,0,926,927,577
185,0,0,0,722,776,525
186,0,0,0,655,741,396
187,0,0,0,552,562,306
188,0,0,0,400,480,292
189,0,0,0,353,452,237
190,0,0,0,296,343,206
191,0,0,0,273,255,167
192,0,0,0,297,221,153
193,0,0,0,246,182,112
194,0,0,0,195,131,73
195,0,0,0,163,152,50
196,0,0,0,153,128,35
197,0,0,0,113,95,43
198,0,0,0,84,113,18
199,0,0,0,79,80,9
200,0,0,0,66,61,11
201,0,0,0,34,49,8
202,0,0,0,26,27,11
203,0,0,0,47,27,4
204,0,0,0,32,39,1
205,0,0,0,36,38,1
206,0,0,0,28,10,0
207,0,0,0,26,19,0
208,0,0,0,11,14,0
209,0,0,0,10,13,0
210,0,0,0,4,2,0
211,0,0,0,13,8,0
212,0,0,0,15,1,0
213,0,0,0,14,4,0
214,0,0,0,7,0,0
215,0,0,0,2,0,0
216,0,0,0,3,0,0
217,0,0,0,0,0,0
218,0,0,0,0,0,0
219,0,0,0,0,0,0
220,0,0,0,0,0,0
221,0,0,0,0,0,0
222,0,0,0,0,0,0
223,0,0,0,0,0,0
224,0,0,0,0,0,0
225,0,0,0,0,0,0
226,0,0,0,0,0,0
227,0,0,0,0,0,0
228,0,0,0,0,0,0
229,0,0,0,0,0,0
230,0,0,0,0,0,0
231,0,0,0,0,0,0
232,0,0,0,0,0,0
233,0,0,0,0,0,0
234,0,0,0,0,0,0
235,0,0,0,0,0,0
236,0,0,0,0,0,0
237,0,0,0,0,0,0
238,0,0,0,0,0,0
239,0,0,0,0,0,0
240,0,0,0,0,0,0
241,0,0,0,0,0,0
242,0,0,0,0,0,0
243,0,0,0,0,0,0
244,0,0,0,0,0,0
245,0,0,0,0,0,0
246,0,0,0,0,0,0
247,0,0,0,0,0,0
248,0,0,0,0,0,0
249,0,0,0,0,0,0
250,0,0,0,0,0,0
251,0,0,0,0,0,0
252,0,0,0,0,0,0
253,0,0,0,0,0,0
254,0,0,0,0,0,0
255,0,0,0,0,0,0
