,vx,vy,vz,x,y,z
0,0,0,14,0,0,0
1,0,0,7,0,0,0
2,0,0,3,0,0,0
3,0,0,9,0,0,0
4,0,0,10,0,0,0
5,0,0,6,0,0,0
6,0,0,4,0,0,0
7,0,0,17,0,0,0
8,0,0,16,0,0,0
9,0,0,20,0,0,0
10,0,0,40,0,0,0
11,0,3,25,0,0,0
12,0,10,30,0,0,0
13,0,34,57,0,0,0
14,0,50,147,0,0,0
15,0,75,191,0,0,0
16,0,151,261,0,0,0
17,0,250,375,0,0,0
18,0,310,439,0,0,0
19,0,420,628,0,0,0
20,0,525,867,0,0,0
21,0,572,1091,0,0,0
22,0,805,1401,0,0,0
23,0,726,1205,0,0,0
24,0,797,1487,0,0,0
25,0,924,1390,0,0,0
26,0,817,1413,0,0,0
27,0,733,1299,0,0,0
28,0,752,1438,0,0,0
29,0,799,1393,0,0,0
30,0,911,1343,0,0,0
31,0,799,1503,0,0,0
32,39,679,1483,0,0,0
33,21,487,1082,0,0,0
34,101,439,1255,0,0,0
35,158,493,1475,0,0,0
36,344,609,1543,0,0,0
37,232,674,1791,0,0,0
38,235,608,1585,0,0,0
39,305,592,1437,0,0,0
40,318,740,1679,0,0,0
41,349,776,2107,0,0,0
42,290,776,2368,0,0,0
43,333,809,2410,0,0,0
44,416,839,2568,0,0,0
45,408,831,2615,0,0,0
46,544,988,2898,0,59528,48881
47,574,784,3100,0,67852,14197
48,492,746,3983,0,49954,5558
49,676,800,5480,0,12843,73034
50,861,805,7028,0,50958,44854
51,1177,897,9781,0,17693,70206
52,1729,1042,14404,0,28591,36483
53,2222,1696,22685,0,25601,6361
54,2977,2923,36290,0,43696,14532
55,4781,6560,58995,0,38931,33825
56,11573,18077,96929,0,26555,103094
57,37605,52138,166250,61952,10141,34180
58,119974,143743,277768,118390,39061,18108
59,322911,355417,464846,149803,14832,22011
60,715807,741535,756418,152262,15704,38513
61,1325830,1306097,1164056,55273,28488,177452
62,1994805,1900524,1621486,95245,163701,4758235
63,2430661,2321144,1987746,6566218,6364042,7471728
64,2419761,2339403,2086794,6323582,6326620,507975
65,1983481,1944250,1861799,44540,112455,106762
66,1332201,1339447,1425364,58942,21140,55946
67,729353,769839,919445,161115,34436,16543
68,324648,375407,503388,142561,82350,34597
69,119046,158419,235687,11302,4996,35215
70,38775,60995,96204,22223,52545,7917
71,11747,23299,35768,0,3126,28889
72,4486,11501,13027,0,0,23912
73,2820,6567,5690,0,17813,20749
74,2446,4712,3472,0,51568,29263
75,2028,3992,2944,0,101754,30272
76,1786,3309,2453,0,21523,63662
77,1295,2844,2225,0,7794,25799
78,983,3095,2400,0,574,2237
79,787,3103,2228,0,1066,225
80,635,3196,2177,0,40012,216
81,561,3412,2248,0,15634,208
82,449,3912,2342,0,1422,201
83,424,3939,2214,0,1435,197
84,467,3431,2111,0,1390,192
85,511,2862,1865,0,1539,194
86,656,2243,1406,0,2234,203
87,622,1919,917,0,554,177
88,543,1598,633,0,446,160
89,708,1137,537,0,120,149
90,499,877,474,0,0,146
91,480,608,279,0,0,141
92,372,617,209,0,73,9
93,296,529,186,0,168,0
94,228,596,187,0,143,0
95,252,640,235,0,137,0
96,178,564,134,0,141,0
97,46,366,166,0,29,0
98,208,287,234,0,0,0
99,198,295,172,0,0,0
100,109,306,267,0,0,0
101,226,342,537,0,0,0
102,178,398,240,0,0,0
103,110,360,161,0,0,0
104,0,391,153,0,0,0
105,0,396,71,0,0,0
106,0,364,2,0,0,0
107,0,422,29,0,0,0
108,0,358,73,0,0,0
109,0,256,38,0,0,0
110,0,129,75,0,0,0
111,0,100,8,0,0,0
112,0,91,7,0,0,0
113,0,59,79,0,0,0
114,0,32,245,0,0,0
115,0,34,78,0,0,0
116,0,125,0,0,0,0
117,0,164,0,0,0,0
118,0,79,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
