,x,y,z
0,0,0,123
1,0,0,235
2,0,0,437
3,0,0,1238
4,0,0,2160
5,0,7,2127
6,0,27,2076
7,0,31,2025
8,0,27,2055
9,0,28,2183
10,0,28,2603
11,0,28,3006
12,0,27,3109
13,0,29,3114
14,0,28,3135
15,0,332,3269
16,0,2269,3150
17,0,10631,3195
18,0,6783,4391
19,0,9101,4038
20,0,6024,4508
21,0,5922,4477
22,0,3294,4680
23,0,3208,9551
24,0,1276,5750
25,0,1148,5391
26,0,1172,6073
27,110,1102,6266
28,1082,1119,6980
29,885,1283,7991
30,681,1392,9004
31,1218,1803,9487
32,865,1591,9132
33,883,2139,12634
34,730,724,11613
35,637,771,12676
36,596,3904,7399
37,572,3143,4730
38,2081,2066,3351
39,3618,1270,3420
40,3824,9029,19840
41,6073,2931,173411
42,5614,1076,298836
43,5528,3532,418256
44,6985,12772,530540
45,6092,2835,721880
46,4630,3598,1093438
47,4145,7611,2618880
48,3830,5562,3456274
49,3292,3355,1351920
50,2919,8599,249263
51,2677,14107,47306
52,2816,13949,16425
53,2818,14755,13469
54,4110,13881,20369
55,3509,19045,9731
56,3261,23723,6629
57,3184,67055,6209
58,3782,83151,10360
59,4627,222852,6150
60,7937,456232,40302
61,25927,964284,7557
62,480033,1526253,3564
63,5123705,2169510,3911
64,5073968,2013560,3621
65,485353,1475653,5458
66,20717,929885,9829
67,3749,517352,17564
68,3054,253574,4304
69,3130,112728,3272
70,3732,77471,1904
71,4035,53714,1655
72,5596,21023,1275
73,3158,28922,775
74,3306,23816,751
75,3212,20287,721
76,3204,14879,1250
77,3373,12650,3270
78,3845,11696,3936
79,4257,6111,14413
80,5415,6149,28958
81,7174,6459,3794
82,9317,11304,1987
83,9419,17988,3033
84,9807,31106,1726
85,11489,17321,3443
86,6063,599,2852
87,3951,532,1478
88,3600,480,1177
89,1227,477,1236
90,1585,908,1381
91,1940,1163,3857
92,2821,866,2262
93,2891,2463,792
94,2220,2002,1467
95,2979,1129,3718
96,5524,2212,1107
97,5081,2348,1424
98,4015,4639,15019
99,3172,3073,1312
100,2917,1745,1014
101,2454,1526,1945
102,1596,2834,325
103,1079,996,51
104,2790,855,48
105,3419,1091,41
106,0,4969,8
107,0,4732,8
108,0,6881,8
109,0,8448,7
110,0,5088,8
111,0,1979,7
112,0,1562,9
113,0,2240,7
114,0,4267,8
115,0,544,7
116,0,607,8
117,0,1131,7
118,0,1306,8
119,0,1496,7
120,0,2654,8
121,0,2202,7
122,0,3082,7
123,0,1484,8
124,0,808,7
125,0,790,7
126,0,1177,8
127,0,453,4
