,x,y,z
0,0,10,446
1,0,20,734
2,0,24,883
3,0,29,953
4,0,48,1810
5,0,112,3405
6,0,240,5352
7,0,124,7841
8,0,135,8435
9,0,203,9976
10,0,354,11439
11,4,324,10720
12,85,339,10620
13,84,340,12031
14,84,328,12497
15,82,325,18815
16,130,332,89092
17,132,291,363090
18,192,290,482873
19,241,292,623815
20,300,434,840618
21,547,496,1268074
22,561,633,1994626
23,518,2065,4010630
24,495,6188,7809249
25,474,7028,8612987
26,427,9705,5114825
27,371,12649,2015867
28,377,13288,746281
29,477,17576,356311
30,650,19422,229204
31,704,24069,181378
32,693,25169,159974
33,727,25205,143668
34,714,25542,123506
35,748,24155,112409
36,750,26957,107632
37,722,34318,102531
38,686,39358,93597
39,695,37023,86065
40,710,39222,77674
41,722,41087,72080
42,765,42034,82325
43,719,43957,74403
44,746,53406,67251
45,885,62838,56816
46,2432,67080,50152
47,6669,77240,49901
48,13546,89894,56953
49,20083,94008,48384
50,26731,108556,38803
51,31703,126492,35444
52,40028,147149,32226
53,49751,162915,29762
54,60231,192892,29054
55,94165,226029,25918
56,123558,284753,22518
57,171586,432047,27587
58,229444,711376,30796
59,391706,1179106,20535
60,955657,1959391,17151
61,2327135,2891232,15740
62,5021272,4026039,16453
63,8775572,4959966,14659
64,8948662,5135577,14526
65,5084380,4214524,12533
66,2354679,3017668,10946
67,922622,1931932,10409
68,399568,1191653,9153
69,235576,665790,8611
70,174747,406870,7370
71,129350,293023,8324
72,100758,218979,6709
73,63718,167675,6451
74,49051,140946,5874
75,35388,114878,4876
76,30702,104422,4564
77,24784,94993,4894
78,20781,89128,4046
79,16435,79029,3656
80,9386,61290,3644
81,4050,54701,3410
82,1089,50172,3376
83,1061,47138,2980
84,997,43282,3588
85,1041,43532,2914
86,1091,39092,3030
87,1148,33955,3501
88,1186,31399,2590
89,1180,31310,2347
90,1264,27693,2468
91,1643,29723,2433
92,950,27012,1922
93,1001,27343,1430
94,951,21510,1283
95,881,19702,1160
96,868,12158,1837
97,903,12835,1181
98,942,13615,2218
99,899,14134,4491
100,647,33717,5696
101,612,16783,7344
102,540,11180,10878
103,537,13844,8894
104,509,9904,2570
105,512,11917,446
106,479,2167,128
107,372,1391,119
108,316,658,119
109,268,463,116
110,248,531,98
111,224,703,73
112,182,1149,67
113,185,655,67
114,159,267,67
115,151,112,59
116,150,60,49
117,134,59,49
118,34,58,50
119,32,58,44
120,33,46,20
121,34,29,21
122,34,27,20
123,24,11,21
124,0,8,20
125,0,5,10
126,0,0,0
127,0,0,0
