s,N (1e3),sx (um),sy (um),mx (px),my (px),T (uK)
845.19816,1943.61776,654.18877,846.94407,825.08621,606.05184,15.15418
856.96235,2077.308,637.54742,796.17004,823.52579,603.90499,13.76584
868.66053,1724.61137,618.94762,722.64605,826.13087,604.88525,11.979
880.28936,1575.36752,604.417,742.62714,823.84524,605.42987,12.13119
891.84562,1665.28817,650.29362,753.53261,826.38432,601.21044,13.10874
903.32617,1643.79854,641.1184,753.9229,824.77983,601.46019,12.95974
914.72799,1710.94332,649.96649,747.8363,829.5863,608.7089,12.98995
926.04813,1654.08756,648.92183,792.6889,825.68345,602.64034,13.88627
937.28379,1591.76752,640.09869,775.80991,825.83931,604.25428,13.38547
948.43225,1777.95566,730.09083,854.28388,828.13215,606.38197,16.70967
959.49093,1801.15429,673.31342,870.68136,825.92184,605.49342,16.02959
970.45734,1614.43096,630.91481,767.58849,825.37813,604.82182,13.06312
981.32915,1805.6278,661.50758,779.31089,826.2124,610.14519,13.82623
992.10411,1770.27969,645.00448,791.77964,826.56815,604.54898,13.80014
1002.78014,1543.0233,676.87367,840.81849,823.18767,604.6945,15.41691
1013.35526,1549.4769,653.42097,787.97383,826.14056,601.4428,13.86518
1023.82766,1673.60473,654.01561,825.077,827.09992,600.60022,14.66739
1034.19564,1596.38771,649.11867,808.68032,823.78853,605.37503,14.2285
