Temperature [uK], Detuning (-2pi MHz)
0.07523143687419553, 1.807373605790354
0.11741037361349849, 1.8075586011269298
0.15605898267981166, 1.8165000423947641
0.19459967779978882, 1.8868445191277465
0.23667070059275586, 1.9484325499294703
0.27524222826882905, 2.001233302243839
0.3173286673398441, 2.0540494708362558
0.3524623650112154, 2.062975495826042
0.3945642203602785, 2.1070198022091526
0.43318199687049563, 2.1335049678956004
0.47179977338071255, 2.159990133582049
0.513994126398064, 2.151403266709318
0.5526427354643769, 2.1603447079771527
0.591306760808738, 2.1605142870356806
0.640484687781829, 2.1782738393469665
0.6756338017312481, 2.1784280021274465
0.717797322192503, 2.1873848596733287
0.7529618524199705, 2.1787671602445022
0.7916258777643314, 2.17893673930303
0.8337893982255863, 2.1878935968489124
0.8759683349648894, 2.188078592185488
0.9146169440312025, 2.197020033453323
0.9532809693755638, 2.197189612511851
0.9919604109979726, 2.1885873293610723
1.195809855626556, 2.1982533356971623
1.3961906376943416, 2.1815883391272846
1.596556003484079, 2.173695204766713
1.7969676181079604, 2.139486483778221
1.9938643213369, 2.1052623465116813
2.194291352238829, 2.062281763313883
