detuning [2pi x MHz], atoms_number [1e8]
-0.7041831671225545, 0.33606557377049184
-0.8441639418491143, 0.4180327868852458
-0.9832836618578735, 0.364168618266979
-1.1293660484640187, 0.408665105386417
-1.4023352397777575, 0.4695550351288058
-1.5419448702294032, 0.49297423887587843
-1.6875521921636585, 0.462529274004684
-1.8275181211192217, 0.5421545667447307
-1.9610409854622777, 0.6053864168618268
-2.106485003915571, 0.5491803278688525
-2.391984025950407, 0.5866510538641687
-2.5254029698964864, 0.6334894613583137
-2.671025137601739, 0.6053864168618268
-2.803686947226995, 0.5327868852459017
-2.949071582596302, 0.4672131147540983
-3.0819115414735165, 0.42271662763466056
-3.220927341085299, 0.3524590163934427
-3.3593493098572202, 0.18852459016393452
-3.6438833567772795, 0.07377049180327866
-3.7706068580039114, 0.06440281030444983
-3.9226275530086805, 0.04566744730679151
-4.062044188437371, 0.03864168618266994
