,vx,vy,vz,x,y,z
0,41,5,40,0,0,5666
1,110,7,141,0,2504,27768
2,128,15,214,0,2975,34500
3,190,17,302,0,16222,32069
4,176,5,420,0,53916,57085
5,265,10,514,0,75745,53433
6,231,53,571,0,84374,41457
7,207,83,825,0,105385,46831
8,215,78,1133,0,38934,67067
9,352,97,1351,0,80535,94631
10,428,145,1460,0,49789,145928
11,398,196,1864,0,125961,122896
12,404,152,2194,0,136039,81493
13,411,96,2350,0,146410,187083
14,621,115,2815,0,209858,246772
15,709,285,3108,0,218853,147626
16,714,192,3488,0,260143,134033
17,917,243,3785,0,152277,103544
18,1079,214,4184,0,274271,205785
19,1329,304,4889,0,246003,111611
20,1752,420,5766,0,428979,90439
21,2219,452,6596,872,172897,218572
22,2249,598,7694,1866,188383,231521
23,2401,689,8199,2005,159076,433812
24,2296,817,8899,4963,314625,338553
25,2387,833,10730,6274,199118,273067
26,2838,997,12273,10720,345488,349261
27,3211,999,14783,124399,147734,467808
28,3531,1320,15881,280419,219200,396708
29,4171,2024,17468,572069,105258,277943
30,4818,2391,21461,461848,211574,350786
31,5198,3169,24562,320965,387988,333860
32,6005,3713,29726,369749,215050,296662
33,6873,3722,35438,557404,309362,229626
34,8581,4525,42836,711136,510038,277422
35,9653,6309,52275,790234,355055,464768
36,10499,6394,63223,335667,257846,297347
37,10892,7160,75765,271511,476173,294196
38,12670,8924,89738,411334,509124,540977
39,13907,12486,111785,415859,403578,398632
40,16605,15109,133095,453140,445710,204297
41,21949,18429,162542,483871,138028,288190
42,26116,22843,196929,399971,270599,210122
43,31631,29645,237508,439583,294449,310224
44,38733,40168,296858,414461,321265,239375
45,52749,56560,373967,467503,242879,193751
46,71459,82001,466033,450527,276087,283456
47,103178,117551,582544,379870,118069,510346
48,163881,166706,732502,324179,121413,892869
49,245087,238330,917266,288010,215303,1429390
50,364832,359128,1137685,320257,180673,2281024
51,542399,519710,1404508,379795,142820,4012064
52,803400,761546,1734500,239960,280632,6369606
53,1175826,1084860,2139510,287978,219566,11044465
54,1667803,1543156,2582862,257973,466905,21481174
55,2272869,2113119,3121132,205191,492354,21592815
56,3069428,2846341,3675079,202854,551109,12923727
57,3940655,3709474,4335885,137835,863012,5946190
58,4975710,4756554,5056968,116823,1143764,2491039
59,5988132,5925904,5734305,161150,1949293,1130103
60,7039520,7145585,6397449,114936,3564133,836124
61,7925068,8217463,6984949,98001,7141853,662421
62,8607095,9082551,7329540,1542795,13441040,535169
63,8967545,9533190,7420816,45872472,19372408,609428
64,9000228,9567880,7235158,45261492,18213538,578844
65,8678877,9084037,6796917,1554863,13274977,393618
66,8038415,8235956,6158731,60040,7443580,478487
67,7141815,7131061,5458715,79421,3501284,428398
68,6146227,5961712,4759128,184240,1758724,386123
69,5090839,4808883,4123013,124255,1096814,381500
70,4063138,3770832,3546330,135911,797322,349974
71,3147623,2896882,3013773,146658,553481,406869
72,2359281,2181237,2562716,232159,262647,420307
73,1703776,1584121,2157075,248420,324028,342122
74,1199251,1122871,1758814,261338,212401,338210
75,831988,799982,1431066,268613,147137,269271
76,550743,549807,1142287,280630,120744,228484
77,365976,365498,897957,246834,80172,254414
78,240388,249733,677206,221861,147825,240104
79,151447,166560,507697,198451,253805,308793
80,97703,112074,367758,306610,111296,235590
81,64855,75779,279018,353966,85628,232617
82,44990,49973,194019,323354,128449,293363
83,32594,38319,135804,332318,376791,313155
84,25953,29883,92249,353973,202603,233468
85,20378,21425,61077,275551,313163,243001
86,17837,16210,39376,318667,355013,223014
87,14873,12380,29423,456824,232507,418786
88,10773,9779,19900,568883,426642,182115
89,7947,8294,13443,492227,362531,177944
90,6153,6352,9174,461045,320284,237511
91,5886,4995,6712,493053,271722,199244
92,5987,3083,4437,452378,339270,246786
93,5578,2578,3415,566959,236854,422294
94,4592,2282,2452,359406,260254,316166
95,4117,2067,2123,288693,327994,202317
96,3350,2110,1716,751491,246378,309638
97,2889,1769,1323,479767,296601,146629
98,2752,1240,1268,312038,390570,120658
99,2258,1120,1155,120454,546159,223543
100,2258,748,1120,32902,193790,299857
101,2089,758,770,23974,190286,149449
102,1764,773,704,7899,201984,93056
103,1588,671,656,8079,119316,104426
104,1346,554,508,7343,236878,42359
105,1078,533,510,2251,370310,69408
106,1086,725,418,980,256803,125450
107,772,638,384,691,222277,104852
108,785,367,338,0,128697,112500
109,567,320,209,0,141871,83202
110,375,156,191,0,119021,20841
111,344,185,206,0,40191,19092
112,389,314,234,0,30348,90179
113,389,194,177,0,58908,39880
114,360,221,166,0,147100,0
115,258,258,117,0,141792,57038
116,226,456,134,0,81563,57243
117,216,522,89,0,21874,0
118,179,463,109,0,9393,53303
119,174,417,111,0,9410,52141
120,135,490,143,0,13585,1151
121,129,145,91,0,49085,0
122,120,148,69,0,76053,0
123,107,68,43,0,5576,0
124,93,53,24,0,3952,0
125,41,27,12,0,2445,0
126,42,0,9,0,3591,0
127,12,0,0,0,0,0
