saturation parameter, temperature (mu K)
4.61862912312613, 0.24970997860065408
6.185463269509411, 0.32251283921254864
7.711504344790358, 0.46874880215833614
33.094234403931864, 1.0299603658099898
100.40371476989402, 1.6845958500886804
253.90460055485093, 2.4970997860065407
545.412663225728, 3.701485635825154
1050.2682144221637, 5.121553448859376
1848.0216136631664, 7.517412401323077
2913.841874537853, 9.805121767832363
4349.452764767643, 12.175031274276032
6033.986685511381, 13.836480680324602
7792.589680102531, 17.69551668079797
9516.95202579403, 18.77172889866678
