,x,y,z,vx,vy,vz
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,3
3,0,0,0,0,0,1
4,0,0,0,0,0,5
5,0,0,13,0,0,3
6,0,0,19068,0,0,4
7,0,0,52280,0,0,1
8,0,0,27069,0,1,5
9,0,0,30516,0,1,4
10,0,0,48780,0,1,10
11,0,0,48147,0,1,6
12,0,0,53157,0,1,7
13,0,0,66373,0,1,6
14,0,0,78702,0,1,9
15,0,0,84687,0,1,11
16,0,0,108490,0,1,8
17,0,0,130028,0,2,7
18,0,0,162528,0,2,32
19,0,429,187856,0,2,57
20,0,601,214921,0,1,130
21,0,678,267846,0,5,70
22,0,546,311167,0,35,80
23,0,2315,379891,0,25,120
24,0,3713,487928,0,22,67
25,0,4039,546496,0,63,79
26,0,1866,589064,0,25,71
27,0,1309,581859,0,12,231
28,0,5111,478249,0,36,243
29,0,4020,355657,0,30,206
30,0,1411,267598,0,24,121
31,0,1820,181253,0,29,146
32,0,2828,137288,0,12,173
33,0,3725,93466,0,19,146
34,0,6490,71803,0,38,137
35,0,6129,47752,0,22,153
36,0,5887,33650,0,13,174
37,0,5798,20967,0,16,119
38,0,6155,23104,0,24,192
39,0,7659,18584,3,27,342
40,0,12720,17221,172,13,326
41,0,19161,9940,140,24,446
42,0,18225,7307,359,26,868
43,0,25995,3734,242,173,1121
44,0,33579,2755,393,382,1861
45,0,39686,3617,781,522,2287
46,0,42589,3410,2343,1430,2976
47,0,42779,3596,3908,2491,3904
48,0,56238,2997,6151,3188,6332
49,0,70626,2907,10341,5131,9315
50,0,70403,1853,15394,8736,14116
51,0,82849,0,23524,14446,22501
52,0,100446,0,37909,23524,34848
53,0,127876,0,56458,39180,51530
54,81,134052,0,79571,63858,74575
55,151,155606,0,111489,91583,106971
56,1093,186792,0,157864,134157,149291
57,8817,194145,0,209154,192602,196333
58,24521,212592,0,260472,250624,258190
59,84230,257134,0,318539,326046,319411
60,204037,292791,0,385722,398494,380600
61,464927,321864,0,440766,470884,437457
62,862907,306221,0,479844,529374,483676
63,1434532,273873,0,508313,564589,511786
64,1453160,277148,0,504932,565957,515545
65,900630,296544,0,492551,533107,504991
66,476508,292202,0,454568,480201,468111
67,222860,271880,0,399708,401039,410040
68,82752,245326,0,324610,325603,347687
69,34111,221570,0,260286,249867,282605
70,7273,199979,0,204398,191031,208914
71,2447,164807,0,158250,138374,155840
72,537,146135,0,117792,93811,109537
73,0,154884,0,82965,62369,73247
74,0,124249,0,57991,41004,48815
75,0,101592,0,39986,27791,32906
76,0,84662,0,24012,15673,16923
77,0,82426,0,14460,8774,8499
78,0,60557,0,8825,4623,3564
79,0,49553,0,4632,2494,2157
80,0,43356,0,2389,812,953
81,0,40512,0,1961,536,494
82,0,40215,0,670,255,482
83,0,36618,0,304,253,275
84,0,27895,0,286,23,78
85,0,22665,0,107,0,4
86,0,19188,0,32,0,0
87,0,18755,0,0,0,0
88,0,17301,0,0,0,0
89,0,10327,0,0,0,0
90,0,8506,0,0,0,0
91,0,8734,0,0,0,0
92,0,6093,0,0,0,0
93,0,6897,0,0,0,0
94,0,5133,0,0,0,0
95,0,4074,0,0,0,0
96,0,2806,0,0,0,0
97,0,4114,0,0,0,0
98,0,2948,0,0,0,0
99,0,1618,0,0,0,0
100,0,1258,0,0,0,0
101,0,2217,0,0,0,0
102,0,4034,0,0,0,0
103,0,2387,0,0,0,0
104,0,2068,0,0,0,0
105,0,1161,0,0,0,0
106,0,409,0,0,0,0
107,0,0,0,0,0,0
108,0,0,0,0,0,0
109,0,0,0,0,0,0
110,0,0,0,0,0,0
111,0,0,0,0,0,0
112,0,0,0,0,0,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
