delta,v_c [cm/s]
-73.0,82.42453358206123
-71.0,308.1735142885997
-67.0,394.42187516663876
-65.0,413.1832714864357
-55.0,351.0915120780705
-62.0,401.2329608793887
-70.0,362.58287517617225
-72.0,222.97440505604138
-60.0,393.1532189986558
-50.0,300.1978137661571
-40.0,213.73162638099814
-30.0,136.62808936258602
