delta,v_c [cm/s]
-74.0,6.750780061600522
-72.0,17.082687982278532
-70.0,61.394239137972704
-68.0,293.8019335589204
-69.0,169.14744176249437
-67.0,352.55479128935826
-65.0,389.6651991336383
-63.0,383.9759171014514
-61.0,366.06276799810223
-59.0,359.683260886916
-57.0,341.14859438644703
-55.0,320.97008713254206
-53.0,308.20586989680083
-50.0,279.5672344667938
-45.0,233.97912026816468
-40.0,196.64397072604382
-30.0,140.09306566559084
