delta,v_c [cm/s]
-35.0,181.67795931086007
-45.0,265.31441304672506
-56.0,144.5186702492313
-53.0,274.1271790605245
-57.0,0.0
-55.0,219.83663257847064
-50.0,305.8121320970971
-40.0,219.82793178631675
-30.0,142.5275533951478
