delta,v_c [cm/s]
-56.0,0.0
-54.0,189.00591871136777
-45.0,233.97912026816468
-53.0,226.9926034496957
-55.0,96.17442761799498
-50.0,265.36462851571537
-40.0,196.64397072604382
-30.0,140.09306566559084
