delta,v_c [cm/s]
-35.0,287.5728137334278
-45.0,416.7182714006357
-56.0,339.203009734434
-53.0,463.5165012429014
-57.0,0.0
-55.0,429.4761581184595
-50.0,492.5683570049355
-40.0,356.0243876472206
-30.0,232.82145162119508
