delta,v_c [cm/s]
-30.0,142.5275533951478
-40.0,219.82793178631675
-50.0,304.916554632145
-55.0,219.83663257847064
-57.0,0.0
-53.0,269.43695401042805
-56.0,147.69232137903538
-45.0,263.33165802549297
-35.0,181.67795931086007
