,vx,vy,vz,x,y,z
0,0,0,6,0,0,0
1,0,0,33,0,0,215
2,7,0,27,0,0,595
3,8,0,27,0,0,1699
4,14,0,33,0,0,2051
5,15,0,58,0,0,1964
6,8,0,57,0,607,2345
7,8,0,73,0,677,1633
8,5,0,101,0,668,2132
9,6,0,128,0,684,3491
10,7,0,134,0,10544,3807
11,7,0,141,0,2093,5019
12,13,0,226,0,999,6010
13,17,0,149,0,1004,4993
14,15,0,219,0,1064,5013
15,24,0,381,0,11753,6343
16,24,0,229,0,1428,11862
17,17,0,257,0,5175,11231
18,19,0,347,0,3634,20184
19,22,0,364,0,9012,6482
20,53,0,328,0,30007,5793
21,63,17,380,0,18562,4031
22,59,115,468,2645,20028,9361
23,73,150,515,12042,16262,3450
24,42,189,540,21246,6385,3663
25,42,362,858,16201,6556,3247
26,57,264,963,24947,20851,3010
27,74,130,841,34278,17037,6920
28,82,65,1183,28152,31760,8957
29,55,86,1551,21244,20037,9285
30,66,60,1311,18942,14736,9177
31,58,72,1861,26556,5042,11102
32,90,107,1909,26635,8985,13793
33,174,310,2573,29003,11203,8349
34,164,348,2837,17121,7733,21905
35,62,118,3387,14953,14888,22137
36,88,115,3952,16126,5661,7408
37,215,92,4124,8575,1623,19854
38,163,169,4375,11156,136,7944
39,478,221,4829,7599,5259,6260
40,493,39,7231,5240,4383,11102
41,393,73,8318,3671,860,61543
42,696,173,9323,5736,11134,158566
43,913,129,11818,4212,6271,241951
44,982,307,15266,4081,9860,314186
45,1704,684,17162,3763,177,447641
46,1879,1350,21347,4627,7547,629624
47,4246,2220,29104,3972,10338,891116
48,9145,4844,38890,3798,3331,1330151
49,18122,10320,54282,4233,606,2621473
50,32740,18216,77307,3278,0,5599752
51,53623,32906,110825,2747,0,5766199
52,85927,56729,155630,2728,1402,2350151
53,137018,98480,216703,3513,978,557328
54,219419,162935,299509,3292,783,115209
55,335957,260844,415081,2955,1132,31614
56,486053,411988,547789,3842,7777,21194
57,673429,604026,718386,3319,15560,16728
58,907456,850119,915670,2675,36864,6894
59,1174277,1135097,1139388,3560,210220,21654
60,1419671,1440248,1358355,3144,619464,20732
61,1656695,1744593,1541610,17605,1608071,11866
62,1836007,1970152,1663428,886533,3192793,9994
63,1913110,2110302,1733967,9678506,4728894,6846
64,1898551,2108511,1725402,9694479,4664429,7230
65,1823446,1957893,1638128,824817,3300279,17275
66,1662905,1732481,1496978,16425,1764739,6010
67,1416148,1441570,1331727,2922,662953,8701
68,1160243,1140537,1127187,1937,231259,8773
69,906479,854396,911452,2249,55315,13305
70,670681,613352,718009,1497,12788,9350
71,476951,420192,553342,1725,21906,4013
72,325524,273743,406403,2356,19325,5124
73,212547,174393,285398,4139,15781,16702
74,135777,99341,193681,3330,17535,16049
75,86066,56277,131302,3313,10693,8488
76,49221,34472,83704,4462,2898,9122
77,28884,17773,50359,3555,2097,13810
78,15770,9691,28011,5328,7026,3923
79,9115,5822,17512,4065,22147,3489
80,5547,2920,9421,4595,1682,18273
81,3181,1440,5340,6418,4525,11218
82,2496,368,2556,6816,9950,13125
83,1423,274,1144,6844,6798,8937
84,785,177,531,8169,2723,8450
85,1159,351,367,7737,7278,14487
86,558,255,316,10131,10813,7746
87,510,109,308,9036,4344,118
88,484,66,229,9893,15591,1609
89,333,80,201,9773,4511,1502
90,91,63,230,12541,26687,1013
91,328,87,155,10521,3233,4604
92,178,116,98,13682,9056,9119
93,18,108,39,14770,9203,10940
94,3,192,30,11392,430,4699
95,11,98,27,12743,771,7139
96,19,132,27,10545,11953,18047
97,21,84,49,17498,13442,6425
98,2,72,20,5077,22810,11181
99,4,69,1,25482,2812,7880
100,8,48,0,5660,929,9110
101,2,88,0,10297,870,4156
102,4,163,0,48507,14412,0
103,5,116,0,13717,11001,0
104,9,56,0,1014,15045,0
105,4,12,0,0,790,0
106,5,7,0,0,739,846
107,3,7,0,0,2104,1584
108,0,13,0,0,936,863
109,0,25,0,0,13958,1689
110,0,17,0,0,851,1496
111,0,20,0,0,2105,2973
112,0,3,0,0,2597,1086
113,0,4,0,0,8286,0
114,0,0,0,0,11619,0
115,0,0,0,0,1070,0
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,3091,0
119,0,0,0,0,2279,0
120,0,0,0,0,4906,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
