,x,y,z,vx,vy,vz
0,0,0,0,0,0,0
1,0,0,0,0,0,0
2,0,0,0,0,0,2
3,0,0,0,0,0,0
4,0,0,0,0,0,1
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,2
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,2
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,4596,0,5,1
14,0,0,22646,0,3,1
15,0,0,33182,0,5,5
16,0,0,22589,0,3,32
17,0,0,29555,0,4,55
18,0,0,49712,0,6,69
19,0,0,61210,0,3,69
20,0,0,65155,0,7,125
21,0,0,88058,0,15,87
22,0,0,108794,0,26,42
23,0,0,137004,0,6,34
24,0,0,147340,0,5,57
25,0,0,145039,0,3,67
26,0,1477,186985,0,5,24
27,0,1296,235205,0,13,51
28,0,3677,277389,0,4,80
29,0,2473,350256,0,4,94
30,0,1328,504214,0,6,70
31,0,1397,597173,0,3,33
32,0,491,634510,0,1,65
33,0,394,637991,0,5,115
34,0,2019,521422,0,13,171
35,0,4268,405824,0,7,192
36,0,4330,279087,0,6,213
37,0,9706,183976,0,4,389
38,0,7525,129483,9,20,412
39,0,7957,77975,108,24,537
40,0,7727,53774,86,76,763
41,0,14100,31224,109,102,1068
42,0,12557,24407,55,163,1250
43,0,11651,11559,51,228,1422
44,0,13680,7104,168,174,1829
45,0,21726,10493,369,172,2615
46,0,24930,5727,1060,328,3385
47,0,34257,4467,2362,656,4657
48,0,42276,5036,4379,1557,6574
49,0,48291,1422,7381,2936,9654
50,0,58866,457,12434,6423,14298
51,0,92204,742,20194,12815,21344
52,0,108634,627,29189,21071,32612
53,0,131424,0,47492,34149,49565
54,0,135780,0,71908,53950,71149
55,0,149983,0,102568,80371,102478
56,152,178779,0,145019,119618,145005
57,1920,206335,0,195083,172072,193759
58,9309,194687,0,259025,241531,246836
59,34643,228808,0,318387,319769,307700
60,131145,254990,0,379722,408179,364779
61,371124,308885,0,441404,477843,426944
62,849465,307846,0,491096,526068,469602
63,1670474,295763,0,511729,561567,501498
64,1605877,303134,0,514208,565566,516132
65,867256,304106,0,489620,533135,492795
66,375768,311927,0,446483,472820,448091
67,127198,273735,0,385354,390027,398587
68,38105,268038,0,319625,312447,339746
69,9474,244333,0,253325,241745,269440
70,1499,241924,0,195196,181002,205845
71,0,215577,0,146961,126944,148765
72,0,170508,0,105042,88440,106981
73,0,148331,0,71617,58637,74903
74,0,116179,0,47899,34753,47262
75,0,93140,0,31902,20441,29315
76,0,77682,0,19244,12612,16461
77,0,63221,0,10616,6206,8103
78,0,63307,0,6592,3023,4072
79,0,54956,0,3655,1766,1655
80,0,36510,0,2479,986,735
81,0,31143,0,1272,442,408
82,0,26925,0,529,180,147
83,0,27313,0,194,108,79
84,0,26854,0,128,63,0
85,0,17028,0,71,10,0
86,0,15385,0,6,4,0
87,0,10929,0,0,2,0
88,0,6880,0,0,2,0
89,0,3149,0,0,1,0
90,0,3545,0,0,1,0
91,0,2878,0,0,2,0
92,0,1145,0,0,1,0
93,0,254,0,0,0,0
94,0,546,0,0,1,0
95,0,292,0,0,1,0
96,0,18,0,0,0,0
97,0,0,0,0,1,0
98,0,0,0,0,0,0
99,0,0,0,0,1,0
100,0,0,0,0,0,0
101,0,0,0,0,0,0
102,0,0,0,0,0,0
103,0,0,0,0,1,0
104,0,0,0,0,0,0
105,0,0,0,0,1,0
106,0,0,0,0,0,0
107,0,0,0,0,1,0
108,0,0,0,0,1,0
109,0,0,0,0,1,0
110,0,0,0,0,1,0
111,0,0,0,0,2,0
112,0,0,0,0,3,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0,0,0,0,0,0
